iter	Passed	Remaining
0	147	147264
1	147	73801
2	148	49333
3	148	37077
4	149	29726
5	149	24825
6	150	21323
7	150	18696
8	151	16652
9	151	15023
10	152	13691
11	152	12579
12	153	11640
13	153	10834
14	154	10136
15	154	9527
16	155	8997
17	156	8526
18	160	8279
19	160	7888
20	161	7534
21	162	7225
22	163	6930
23	163	6659
24	164	6408
25	164	6175
26	165	5957
27	165	5755
28	166	5569
29	166	5394
30	167	5231
31	167	5079
32	168	4935
33	168	4801
34	169	4673
35	170	4557
36	170	4445
37	171	4338
38	171	4238
39	172	4140
40	173	4046
41	173	3960
42	174	3876
43	174	3795
44	175	3719
45	175	3645
46	176	3575
47	176	3506
48	177	3441
49	177	3377
50	178	3316
51	178	3259
52	179	3203
53	179	3149
54	180	3098
55	180	3048
56	181	2999
57	181	2952
58	182	2906
59	182	2862
60	183	2820
61	183	2778
62	184	2738
63	184	2700
64	185	2662
65	185	2626
66	186	2591
67	186	2556
68	187	2523
69	187	2491
70	188	2459
71	188	2429
72	188	2399
73	189	2370
74	190	2343
75	190	2317
76	191	2290
77	191	2264
78	192	2238
79	192	2213
80	192	2189
81	193	2166
82	193	2141
83	194	2119
84	195	2099
85	195	2078
86	196	2058
87	196	2038
88	197	2018
89	197	1999
90	198	1980
91	198	1961
92	199	1943
93	199	1924
94	200	1907
95	200	1890
96	201	1873
97	201	1857
98	202	1841
99	202	1825
100	203	1809
101	203	1793
102	204	1778
103	204	1763
104	205	1748
105	205	1734
106	206	1721
107	206	1707
108	207	1694
109	207	1681
110	208	1668
111	208	1656
112	209	1643
113	209	1630
114	210	1618
115	210	1605
116	211	1593
117	211	1582
118	212	1570
119	212	1559
120	213	1548
121	213	1536
122	214	1526
123	214	1515
124	214	1504
125	215	1494
126	215	1483
127	216	1472
128	216	1463
129	217	1455
130	217	1445
131	218	1436
132	218	1427
133	219	1418
134	220	1409
135	220	1400
136	220	1391
137	221	1382
138	221	1374
139	222	1366
140	223	1359
141	223	1349
142	223	1342
143	224	1334
144	224	1326
145	225	1318
146	225	1310
147	226	1302
148	226	1295
149	227	1288
150	227	1281
151	228	1274
152	229	1267
153	229	1261
154	230	1254
155	230	1247
156	231	1240
157	231	1233
158	231	1226
159	232	1220
160	232	1212
161	233	1206
162	233	1200
163	234	1194
164	234	1188
165	235	1182
166	235	1176
167	236	1170
168	236	1164
169	237	1158
170	237	1152
171	238	1146
172	238	1140
173	239	1135
174	239	1129
175	240	1124
176	240	1119
177	241	1113
178	241	1108
179	242	1102
180	242	1097
181	242	1092
182	243	1086
183	243	1082
184	244	1076
185	244	1071
186	245	1067
187	245	1062
188	246	1057
189	247	1053
190	247	1048
191	247	1043
192	248	1038
193	248	1034
194	249	1029
195	249	1025
196	250	1020
197	250	1016
198	251	1012
199	252	1008
200	252	1004
201	253	1000
202	253	996
